A,θ0,θ1,θ2,θ3,θ4,θ5,θ6,θ7,θ8,θ9,θ10,θ11,G,b
q0,1,,,,,,,,,,,,2000,To
q1,-1,1,,,,,,,,,,,1120,
q2,,-1,1,,,,,,,,,,1120,
q3,,,-1,1,,,,,,,,,54,
q4,,,,-1,1,,,,,,,,54,
q5,,,,,-1,1,,,,,,,40,
q6,,,,,-1,,,,,,1,,640,
q7,,,,,,-1,1,,,,,,64,
q8,,,,,,,,1,,,,,147.368421,To
q9,,,,,,1,,-1,,,,,560,
q10,,,,,,,1,,,,,,21.333333,To
q11,,,,,,,1,,,,,,,Ti_sp
q12,,,,,,1,,,-1,,,,5.4,
q13,,,,,,,,,1,-1,,,5.4,
q14,,,,,,,,,,1,-1,,112,
q15,,,,,,,,,,,1,-1,112,
q16,,,,,,,,,,,,1,200,To
C,,32384000,,425920,,,76800,968000,42592,,3238400,
f,Φo,,,,Φi,,Qa,Φa,,,,Φo
y,,,,,,,1,,,,,

